# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
2.196000000000000E+009	-4.458545427252822E+000	-2.466430040381660E+000	-1.986161497577291E+001	
2.208000000000000E+009	-4.362845935573834E+000	-2.426646058130853E+000	-2.035171902563660E+001	
2.220000000000000E+009	-4.312975433271894E+000	-2.368476889649561E+000	-2.075903636554694E+001	
2.232000000000000E+009	-4.363704425279432E+000	-2.327001480428165E+000	-2.106769980976066E+001	
2.244000000000000E+009	-4.474711789448055E+000	-2.286204520976324E+000	-2.133002300425697E+001	
2.256000000000000E+009	-4.595184568807951E+000	-2.228489411062093E+000	-2.138483298465303E+001	
2.268000000000000E+009	-4.658564450186065E+000	-2.135464137428261E+000	-2.154765617081466E+001	
2.280000000000000E+009	-4.758644275204517E+000	-2.038946733471329E+000	-2.178744821536755E+001	
2.292000000000000E+009	-4.781452981346885E+000	-1.935738887831822E+000	-2.189567218136573E+001	
2.304000000000000E+009	-4.828740611068725E+000	-1.842716953988852E+000	-2.214919908941475E+001	
2.316000000000000E+009	-4.933409247237838E+000	-1.774753437568142E+000	-2.243555563938073E+001	
2.328000000000000E+009	-4.962700163576414E+000	-1.717227983858659E+000	-2.261158246075665E+001	
2.340000000000000E+009	-5.053790750875285E+000	-1.658176686073282E+000	-2.255409755610488E+001	
2.352000000000000E+009	-5.231217604632664E+000	-1.592360739506711E+000	-2.279234564363989E+001	
2.364000000000000E+009	-5.186188419511884E+000	-1.508153010041115E+000	-2.310222292244233E+001	
2.376000000000000E+009	-5.100967863326542E+000	-1.409579045064445E+000	-2.348998085553608E+001	
2.388000000000000E+009	-4.962733511519667E+000	-1.349608181840955E+000	-2.384325337505960E+001	
2.400000000000000E+009	-4.844398241698622E+000	-1.299494437164483E+000	-2.432972736465432E+001	
2.412000000000000E+009	-4.713952575486013E+000	-1.255033188479901E+000	-2.496868901507637E+001	
2.424000000000000E+009	-4.623811624713251E+000	-1.215974579122307E+000	-2.556612312565263E+001	
2.436000000000000E+009	-4.512413228696807E+000	-1.172213735450789E+000	-2.611306851747143E+001	
2.448000000000000E+009	-4.359611710282851E+000	-1.119672500843096E+000	-2.671595755018932E+001	
2.460000000000000E+009	-4.175704210750568E+000	-1.049863106111010E+000	-2.736375014047522E+001	
2.472000000000000E+009	-3.991508902757774E+000	-9.669902109611958E-001	-2.836838106081769E+001	
2.484000000000000E+009	-3.779734281747028E+000	-8.996887706698362E-001	-2.960783939867482E+001	
2.496000000000000E+009	-3.620662935193377E+000	-8.456870045281703E-001	-3.134180798633313E+001	
2.508000000000000E+009	-3.465969402148371E+000	-8.015270506222972E-001	-3.482619598767786E+001	
2.520000000000000E+009	-3.321977697839969E+000	-9.132078043944476E-001	-4.282987357492528E+001	
2.532000000000000E+009	-3.049940918632687E+000	-3.037498525018304E+000	-2.523716642636550E+001	
2.544000000000000E+009	-2.984342599021478E+000	-2.827629255704637E+000	-2.415047069080329E+001	
2.556000000000000E+009	-2.868733199542773E+000	-1.795072466794617E+000	-2.631800313803744E+001	
2.568000000000000E+009	-2.729398705856847E+000	-1.453058985010693E+000	-2.771145225188600E+001	
2.580000000000000E+009	-2.599679243857282E+000	-1.301975314662843E+000	-2.860752955099460E+001	
2.592000000000000E+009	-2.456700795084532E+000	-1.204600648464773E+000	-2.978121861397755E+001	
2.604000000000000E+009	-2.362566425094575E+000	-1.146285164939269E+000	-3.075773175016577E+001	
2.616000000000000E+009	-2.272241586555603E+000	-1.120924565994075E+000	-3.161295906578968E+001	
2.628000000000000E+009	-2.162492273637419E+000	-1.091448850362432E+000	-3.271893681252669E+001	
2.640000000000000E+009	-2.050640590694331E+000	-1.047243085799324E+000	-3.389531479069269E+001	
2.652000000000000E+009	-1.920520032095642E+000	-9.766190685852966E-001	-3.560215808903476E+001	
2.664000000000000E+009	-1.799360978833038E+000	-9.289321540404142E-001	-3.807995695145685E+001	
2.676000000000000E+009	-1.774123701357278E+000	-9.114020372638579E-001	-4.180858440091477E+001	
2.688000000000000E+009	-2.045759810989715E+000	-9.044763214256827E-001	-4.098540941948264E+001	
2.700000000000000E+009	-3.712376581794783E+000	-9.005783001420212E-001	-3.277781217276520E+001	
2.712000000000000E+009	-1.339686672352894E+001	-9.048885826653990E-001	-2.790995750658852E+001	
2.724000000000000E+009	-1.194279943920039E+001	-9.263430473447054E-001	-2.780157060189494E+001	
2.736000000000000E+009	-6.457980910011948E+000	-9.359339048293730E-001	-2.904631523180055E+001	
2.748000000000000E+009	-4.748042807996098E+000	-9.522362404779717E-001	-3.027363651007631E+001	
2.760000000000000E+009	-3.919783400142611E+000	-9.492309958152687E-001	-3.137579283593970E+001	
2.772000000000000E+009	-3.456645738457410E+000	-9.506928921460531E-001	-3.221341120079015E+001	
2.784000000000000E+009	-3.179482442146377E+000	-9.397316945356100E-001	-3.283575591613341E+001	
2.796000000000000E+009	-3.008449803530122E+000	-9.169264357912517E-001	-3.349579821716216E+001	
2.808000000000000E+009	-2.919261445457274E+000	-9.208854061986342E-001	-3.397826145949484E+001	
2.820000000000000E+009	-2.846047286418283E+000	-9.304752034134952E-001	-3.451707287443131E+001	
2.832000000000000E+009	-2.790746674387210E+000	-9.379063070158008E-001	-3.508568344893854E+001	
2.844000000000000E+009	-2.706903477210971E+000	-9.529186533045099E-001	-3.566360412247137E+001	
2.856000000000000E+009	-2.620546456852171E+000	-9.610446064783548E-001	-3.605733015725884E+001	
2.868000000000000E+009	-2.551454081886853E+000	-9.642821829574025E-001	-3.636581478035001E+001	
2.880000000000000E+009	-2.452119999925060E+000	-9.562610586279089E-001	-3.660722741104489E+001	
2.892000000000000E+009	-2.357453407857328E+000	-9.539056658928689E-001	-3.702265331506007E+001	
2.904000000000000E+009	-2.245528396717113E+000	-9.323113871543161E-001	-3.730218675739219E+001	
2.916000000000000E+009	-2.159200695707273E+000	-9.062943091974253E-001	-3.737363504997717E+001	
2.928000000000000E+009	-2.095901849577196E+000	-8.879351112487920E-001	-3.762640423128736E+001	
2.940000000000000E+009	-2.060287918239927E+000	-8.785312845075792E-001	-3.794419622366285E+001	
2.952000000000000E+009	-2.036409169703739E+000	-8.999304437559073E-001	-3.798109135669255E+001	
2.964000000000000E+009	-2.037565577348518E+000	-9.338801355749345E-001	-3.814493036239053E+001	
2.976000000000000E+009	-2.043668921566075E+000	-9.613907780123243E-001	-3.838520591195195E+001	
2.988000000000000E+009	-2.062674627894816E+000	-9.731529014657160E-001	-3.850152836317439E+001	
3.000000000000000E+009	-2.056903494094826E+000	-9.754949741640557E-001	-3.862722529581023E+001	
