# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
1.980000000000000E+009	-1.221417059340854E+000	-1.101188793959273E+001	-2.297030295778505E+001	
1.992000000000000E+009	-1.418067788356704E+000	-1.092195874972869E+001	-2.203597514611366E+001	
2.004000000000000E+009	-1.652707511383643E+000	-1.093553565753953E+001	-2.127090545336757E+001	
2.016000000000000E+009	-1.979655233191123E+000	-1.096019121213075E+001	-2.030686291156062E+001	
2.028000000000000E+009	-2.368855032720544E+000	-1.081500322198165E+001	-1.953640799504451E+001	
2.040000000000000E+009	-2.796391632968125E+000	-1.000820649336626E+001	-1.883383653102892E+001	
2.052000000000000E+009	-3.267371589743447E+000	-9.055501914927501E+000	-1.812551023081544E+001	
2.064000000000000E+009	-3.841579810358875E+000	-8.284732489717911E+000	-1.757437759763404E+001	
2.076000000000000E+009	-4.445626530950946E+000	-7.640476435447881E+000	-1.727177109823500E+001	
2.088000000000000E+009	-5.082172545306159E+000	-6.947866703394184E+000	-1.718038443077671E+001	
2.100000000000000E+009	-5.669499219220792E+000	-6.639593048249282E+000	-1.768344648141314E+001	
2.112000000000000E+009	-6.165129134092823E+000	-6.803760139426421E+000	-1.842412629411712E+001	
2.124000000000000E+009	-6.479186471913352E+000	-7.265704768251497E+000	-1.823486915664275E+001	
2.136000000000000E+009	-6.436056767477955E+000	-7.481337738866520E+000	-1.714378479013675E+001	
2.148000000000000E+009	-6.256631863785988E+000	-7.317284185569629E+000	-1.621089536533450E+001	
2.160000000000000E+009	-6.083320191191385E+000	-7.005932216004780E+000	-1.600050962308064E+001	
2.172000000000000E+009	-5.925441528784117E+000	-6.690360375112393E+000	-1.599946935051129E+001	
2.184000000000000E+009	-5.901275327570790E+000	-6.483985194349148E+000	-1.609780687510926E+001	
2.196000000000000E+009	-5.878385297233969E+000	-6.435865609083363E+000	-1.616654119426475E+001	
2.208000000000000E+009	-5.855309046556010E+000	-6.580804895545243E+000	-1.635485677702233E+001	
2.220000000000000E+009	-5.847929987250548E+000	-6.681697706157629E+000	-1.674550568373811E+001	
2.232000000000000E+009	-5.957433871283991E+000	-6.725834677647367E+000	-1.703939481019913E+001	
2.244000000000000E+009	-6.099012726759884E+000	-6.870748944345377E+000	-1.723007417637556E+001	
2.256000000000000E+009	-6.135336664451737E+000	-7.255656614579503E+000	-1.748647884962587E+001	
2.268000000000000E+009	-6.182101838342983E+000	-7.532421413680408E+000	-1.765878618331822E+001	
2.280000000000000E+009	-6.297782991964334E+000	-7.928256461069828E+000	-1.744748685787423E+001	
2.292000000000000E+009	-6.388173067365655E+000	-8.458420225633685E+000	-1.702639911151069E+001	
2.304000000000000E+009	-6.450567498677152E+000	-8.908619176044381E+000	-1.689437667572795E+001	
2.316000000000000E+009	-6.585408189790443E+000	-9.383408619339987E+000	-1.678858596964273E+001	
2.328000000000000E+009	-6.586265885507539E+000	-9.803732910224433E+000	-1.680870869880595E+001	
2.340000000000000E+009	-6.528192995960857E+000	-1.012440105285684E+001	-1.640320747335482E+001	
2.352000000000000E+009	-6.372522346105224E+000	-1.033688045153048E+001	-1.609471492691727E+001	
2.364000000000000E+009	-6.215190859776709E+000	-1.029628631279597E+001	-1.607921317505685E+001	
2.376000000000000E+009	-6.007586611568899E+000	-1.045264476417285E+001	-1.616704335429429E+001	
2.388000000000000E+009	-5.828632970101494E+000	-1.039942859314988E+001	-1.615650194674356E+001	
