        Frequency                Csh2=0.3/abs,dB
                  2061.6                      -6.0417864
                  2063.7                      -6.0493517
                  2065.8                      -6.0569099
                  2067.9                      -6.0644473
                    2070                      -6.0719467
                  2072.1                      -6.0793922
                  2074.2                       -6.086771
                  2076.3                      -6.0940694
                  2078.4                      -6.1012701
                  2080.5                      -6.1083627
                  2082.6                      -6.1153372
                  2084.7                      -6.1221803
                  2086.8                      -6.1288813
                  2088.9                      -6.1354329
                    2091                      -6.1418241
                  2093.1                      -6.1480479
                  2095.2                      -6.1540969
                  2097.3                       -6.159964
                  2099.4                      -6.1656457
                  2101.5                      -6.1711358
                  2103.6                      -6.1764319
                  2105.7                       -6.181527
                  2107.8                      -6.1864249
                  2109.9                      -6.1911188
                    2112                      -6.1956109
                  2114.1                      -6.1998989
                  2116.2                      -6.2039863
                  2118.3                      -6.2078732
                  2120.4                      -6.2115601
                  2122.5                      -6.2150521
                  2124.6                      -6.2183494
                  2126.7                      -6.2214606
                  2128.8                      -6.2243841
                  2130.9                      -6.2271289
                    2133                      -6.2296987
                  2135.1                      -6.2320992
                  2137.2                      -6.2343358
                  2139.3                      -6.2364159
                  2141.4                      -6.2383447
                  2143.5                      -6.2401275
                  2145.6                       -6.241772
                  2147.7                      -6.2432868
                  2149.8                      -6.2446756
                  2151.9                      -6.2459479
                    2154                      -6.2471093
                  2156.1                      -6.2481676
                  2158.2                      -6.2491271
                  2160.3                      -6.2499969
                  2162.4                       -6.250779
                  2164.5                      -6.2514853
                  2166.6                      -6.2521185
                  2168.7                      -6.2526821
                  2170.8                      -6.2531846
                  2172.9                      -6.2536305
                    2175                      -6.2540209
                  2177.1                       -6.254364
                  2179.2                      -6.2546581
                  2181.3                      -6.2549134
                  2183.4                      -6.2551277
                  2185.5                      -6.2553031
                  2187.6                      -6.2554427
                  2189.7                      -6.2555496
                  2191.8                      -6.2556186
                  2193.9                      -6.2556558
                    2196                      -6.2556583
                  2198.1                      -6.2556273
                  2200.2                      -6.2555579
                  2202.3                      -6.2554523
                  2204.4                      -6.2553083
                  2206.5                       -6.255119
                  2208.6                       -6.254886
                  2210.7                      -6.2546042
                  2212.8                      -6.2542677
                  2214.9                      -6.2538772
                    2217                      -6.2534253
                  2219.1                       -6.252905
                  2221.2                      -6.2523174
                  2223.3                      -6.2516508
